sku,inRoqResult,isApendSku,inTip,inForecastNational,inVendorData
1687301,N,N,N,Y,N
1789326,N,N,N,Y,N
1836288,N,N,N,Y,N
1847024,N,N,N,Y,N
2109932,N,N,N,Y,N
2137102,Y,N,Y,Y,Y
2148740,N,N,N,Y,N
2176028,Y,N,Y,Y,Y
2185433,Y,N,Y,Y,Y
2221090,N,N,N,Y,N
2327831,N,N,N,Y,N
2341916,Y,N,Y,Y,Y
316017,N,N,N,Y,N
442305,N,N,N,Y,N
443980,Y,N,Y,Y,Y
456454,N,N,N,Y,N
462402,N,N,N,Y,N
471312,N,N,N,Y,N
477893,N,N,N,Y,N
602974,N,N,N,Y,N
607429,Y,N,Y,Y,Y
658153,N,N,N,Y,N
2069442,Y,N,Y,Y,Y
2086371,Y,N,Y,Y,Y
2176029,Y,N,Y,Y,Y
2251926,Y,N,Y,Y,Y
2321991,Y,N,Y,Y,Y
2346705,Y,N,Y,Y,Y
2349711,Y,N,Y,Y,Y
316018,N,N,N,Y,N
438473,N,N,N,Y,N
491410,N,N,N,Y,N
520714,N,N,N,Y,N
541540,Y,N,Y,Y,Y
602975,N,N,N,Y,N
71616,N,N,N,Y,N
104690,N,N,N,Y,N
126074,N,N,N,Y,N
130196,Y,N,Y,Y,Y
135803,Y,N,Y,Y,Y
156585,N,N,N,Y,N
1917866,N,N,N,Y,N
2069443,Y,N,Y,Y,Y
2159434,Y,N,Y,Y,Y
2221092,N,N,N,Y,N
2231055,N,N,N,Y,N
463908,Y,N,Y,Y,Y
491411,N,N,N,Y,N
562485,Y,N,Y,Y,Y
658155,N,N,N,Y,N
103467,N,N,N,Y,N
126075,N,N,N,Y,N
1772507,N,N,N,Y,N
2069444,Y,N,Y,Y,Y
2208674,N,N,N,Y,N
2221093,N,N,N,Y,N
2351558,Y,N,Y,Y,Y
535143,N,N,N,Y,N
550614,N,N,N,Y,N
562486,Y,N,Y,Y,Y
569100,N,N,N,Y,N
77135,N,N,N,Y,N
90662,Y,N,Y,Y,Y
17178,N,N,N,Y,N
1725401,N,N,N,Y,N
1907292,N,N,N,Y,N
1954281,Y,N,Y,Y,Y
1990696,Y,N,Y,Y,Y
2069445,Y,N,Y,Y,Y
2221094,N,N,N,Y,N
2302175,Y,N,Y,Y,Y
2351559,Y,N,Y,Y,Y
36384,Y,N,Y,Y,Y
438025,N,N,N,Y,N
509143,N,N,N,Y,N
77136,Y,N,Y,Y,Y
137921,N,N,N,Y,N
1939748,Y,N,Y,Y,Y
2325559,N,N,N,Y,N
2329005,Y,N,Y,Y,Y
2348662,Y,N,Y,Y,Y
330160,N,N,N,Y,N
462407,N,N,N,Y,N
462858,N,N,N,Y,N
509144,N,N,N,Y,N
77137,N,N,N,Y,N
84427,Y,N,Y,Y,Y
2069447,Y,N,Y,Y,Y
